A: {'vehicle': 'A', 'distance': 14, 'speed': 33} | B: {'vehicle': 'B', 'distance': 64, 'speed': 41} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 47, 'speed': 59} | B: {'vehicle': 'B', 'distance': 53, 'speed': 44} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 32, 'speed': 29} | A: {'vehicle': 'A', 'distance': 50, 'speed': 26} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 50, 'speed': 26} | B: {'vehicle': 'B', 'distance': 32, 'speed': 29} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 39, 'speed': 75} | A: {'vehicle': 'A', 'distance': 98, 'speed': 44} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 67, 'speed': 36} | A: {'vehicle': 'A', 'distance': 23, 'speed': 67} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 43, 'speed': 28} | A: {'vehicle': 'A', 'distance': 29, 'speed': 75} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 6, 'speed': 70} | A: {'vehicle': 'A', 'distance': 67, 'speed': 60} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 67, 'speed': 60} | B: {'vehicle': 'B', 'distance': 6, 'speed': 70} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 95, 'speed': 39} | B: {'vehicle': 'B', 'distance': 21, 'speed': 63} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 5, 'speed': 54} | A: {'vehicle': 'A', 'distance': 87, 'speed': 69} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 87, 'speed': 69} | B: {'vehicle': 'B', 'distance': 5, 'speed': 54} | ⚠️ WARNING
A: {'vehicle': 'A', 'distance': 6, 'speed': 75} | B: {'vehicle': 'B', 'distance': 26, 'speed': 67} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 46, 'speed': 53} | A: {'vehicle': 'A', 'distance': 52, 'speed': 22} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 69, 'speed': 44} | A: {'vehicle': 'A', 'distance': 36, 'speed': 67} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 61, 'speed': 27} | A: {'vehicle': 'A', 'distance': 37, 'speed': 69} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 85, 'speed': 48} | A: {'vehicle': 'A', 'distance': 6, 'speed': 20} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 10, 'speed': 78} | A: {'vehicle': 'A', 'distance': 56, 'speed': 29} | 🚨 CRITICAL COLLISION
B: {'vehicle': 'B', 'distance': 74, 'speed': 76} | A: {'vehicle': 'A', 'distance': 5, 'speed': 50} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 76, 'speed': 66} | A: {'vehicle': 'A', 'distance': 62, 'speed': 22} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 62, 'speed': 74} | A: {'vehicle': 'A', 'distance': 20, 'speed': 31} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 63, 'speed': 68} | A: {'vehicle': 'A', 'distance': 66, 'speed': 43} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 15, 'speed': 66} | A: {'vehicle': 'A', 'distance': 47, 'speed': 33} | 🚨 CRITICAL COLLISION
B: {'vehicle': 'B', 'distance': 94, 'speed': 54} | A: {'vehicle': 'A', 'distance': 38, 'speed': 29} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 25, 'speed': 78} | A: {'vehicle': 'A', 'distance': 62, 'speed': 46} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 80, 'speed': 66} | A: {'vehicle': 'A', 'distance': 24, 'speed': 21} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 22, 'speed': 54} | A: {'vehicle': 'A', 'distance': 31, 'speed': 20} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 20, 'speed': 47} | A: {'vehicle': 'A', 'distance': 83, 'speed': 22} | ⚠️ WARNING
B: {'vehicle': 'B', 'distance': 59, 'speed': 76} | A: {'vehicle': 'A', 'distance': 87, 'speed': 76} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 65, 'speed': 69} | A: {'vehicle': 'A', 'distance': 72, 'speed': 43} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 53, 'speed': 70} | A: {'vehicle': 'A', 'distance': 53, 'speed': 77} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 71, 'speed': 41} | A: {'vehicle': 'A', 'distance': 53, 'speed': 20} | ✅ SAFE
B: {'vehicle': 'B', 'distance': 76, 'speed': 78} | A: {'vehicle': 'A', 'distance': 37, 'speed': 20} | ⚠️ WARNING
